Acao_Link;Lucro_Liquido;Margem_Liquida;ROE;Div_por_PL;P_por_L;P_por_VPA;DY;Payout;Margem_Seguranca;Nome_acao
http://bastter.com/mercado/acao/SNSY6.aspx;-9600%;-21.43%;22.75%;-0.13;-0.60;-0.13;0.00%;0.00%;-2007%;SNSY6
http://bastter.com/mercado/acao/NEMO3.aspx;-10500%;-1.56%;-0.98%;1.22;0.00;0.00;0.00%;0.00%;0%;NEMO3
http://bastter.com/mercado/acao/NEMO5.aspx;-10500%;-1.56%;-0.98%;1.22;-14.89;0.14;2.15%;0.00%;-177%;NEMO5
http://bastter.com/mercado/acao/NEMO6.aspx;-10500%;-1.56%;-0.98%;1.22;0.00;0.00;0.00%;0.00%;0%;NEMO6
http://bastter.com/mercado/acao/SUZB3.aspx;-12200%;-1.81%;-1.16%;1.25;0.00;0.00;0.00%;0.00%;0%;SUZB3
http://bastter.com/mercado/acao/SUZB5.aspx;-12200%;-1.81%;-1.16%;1.25;-99.42;1.15;1.00%;0.00%;-111%;SUZB5
http://bastter.com/mercado/acao/SUZB6.aspx;-12200%;-1.81%;-1.16%;1.25;-70.82;0.82;4.35%;0.00%;-116%;SUZB6
http://bastter.com/mercado/acao/CCXC3.aspx;-55000%;0%;-287.96%;0.00;-0.06;0.17;0.00%;0.00%;-18689%;CCXC3
http://bastter.com/mercado/acao/CSNA3.aspx;-66600%;-3.86%;-11.25%;4.85;-11.41;1.28;5.29%;0.00%;-200%;CSNA3
http://bastter.com/mercado/acao/MMXM3.aspx;-208200%;-227.79%;-154.57%;0.06;-0.05;0.08;0.00%;0.00%;-21187%;MMXM3
http://bastter.com/mercado/acao/MMXM11.aspx;-208200%;-227.79%;-154.57%;0.06;0.00;0.00;0.00%;0.00%;0%;MMXM11
http://bastter.com/mercado/acao/VALE3.aspx;-962200%;-10.26%;-6.19%;0.46;-11.69;0.72;8.76%;0.00%;-198%;VALE3
http://bastter.com/mercado/acao/VALE5.aspx;-962200%;-10.26%;-6.19%;0.46;-9.97;0.61;10.26%;0.00%;-215%;VALE5
